"DATE","CPI","Exchange Rate","Interest Rate","Nighttime Light","Instability of Regime","Instability within Regime","Mass Civil Protest","Political Violence","Commodity Price Index"
"2014.09.01",1.228200179,-0.0314028413227696,2.95,0.251215954545032,-0.606034891053665,-0.679267602932393,-0.264862807625439,-1.15797167012165,-0.432568728152694
"2014.10.01",1.169465641,0.0818570017568909,2.95,0.226697043295904,-0.4635752007653,-1.00043572262561,-0.54533305786246,0.180289362252321,-0.615822347095363
"2014.11.01",1.13593388,-0.0763799954114575,2.95,0.269678206455541,-0.611956727668855,-1.01575120576522,-0.413535635685098,0.251385647990294,-0.429402072055718
"2014.12.01",1.076745936,0.0862689365267677,2.95,0.154215068109164,-0.330510354008248,-0.792050108813097,-0.698143431635201,0.229699913040921,-1.34167703036356
"2015.01.01",0.992287445,0.0280522035742692,2.95,0.248786269045723,2.05218199552448,1.42686084610824,2.16903534307347,1.06775160754303,-1.97642795235282
"2015.02.01",0.895607442,-0.0121326328930138,2.95,0.308590607765128,0.140694953134911,-0.133297483110035,-0.458357713547888,-0.290828237820395,0.185345254155789
"2015.03.01",0.778921334,0.0309821342677097,2.95,0.248668728845191,-0.283754761137765,0.370585941803808,0.124498678562098,-0.224943109453337,0.418650793174358
"2015.04.01",0.751395826,-0.0125232088572957,2.95,0.13910693984774,-0.288927923548304,0.0191389015505887,-0.259063200554165,-0.536988570217193,0.528196577770812
"2015.05.01",0.677445647,-0.0745539615897961,2.95,0.211357350716725,-0.505632132174212,-0.404091685657396,0.141021044994904,0.266722145496158,0.87563611980559
"2015.06.01",0.640473295,0.0903306903182965,2.95,0.233583881127285,-0.764352874338417,-0.633647181947904,-0.45358147838845,-0.726004792807889,-1.03883602068571
"2015.07.01",0.636634596,-0.0118126852593825,2.95,0.254161311073881,-0.62774917547836,-0.799122864600864,-0.86161808276458,-0.883549238180694,-1.14859643704589
"2015.08.01",0.652942837,0.00759656829680821,2.95,0.253938635302798,-0.499879807340252,-1.21695929216426,-0.58306902100555,-0.932625645645387,-1.22924124107456
"2015.09.01",0.66601251,0.0749755900574911,2.95,0.301215954545032,-0.387826355029155,0.41460087760819,0.853166488919383,-0.303858270782594,0.338802328399579
"2015.10.01",0.7068958,0.115551984241602,2.95,0.296697043295904,0.0350998367345419,0.223491189032808,-0.0373836801870525,-0.335504633555367,0.138139588850472
"2015.11.01",0.735082682,0.0450301350625182,2.95,0.209678206455541,-0.627663405707734,0.211943801492391,-0.338515180892397,-0.519361267352258,-1.3066737143178
"2015.12.01",0.799236506,-0.0474275592340589,2.95,0.234215068109164,-0.764352874338417,-0.882808495912313,-0.86161808276458,-1.34890101578818,-0.810676194947912
"2016.01.01",0.824312056,0.101786615380917,2.95,0.168786269045723,-0.764352874338417,0.106793453409411,-0.427811129193459,-0.52087232434997,-0.753703983242382
"2016.02.01",0.887212046,0.190053411803959,2.95,0.198590607765128,-0.328664943957807,0.567961908445317,0.975653642235449,0.1570817422471,0.499495703856856
"2016.03.01",0.997648854,0.656923649709817,2.95,0.158668728845191,0.45908802315256,0.664151419526932,-0.0239858885220651,0.0412990477259759,1.39518441083371
"2016.04.01",1.068961339,0.975617408219431,2.95,0.24910693984774,0.171591444501888,0.551622157835214,-0.255750694407093,-0.530005911844704,0.0607994763099029
"2016.05.01",1.138675832,0.694981310294907,2.95,0.241357350716725,-0.32066995769183,1.55096848917168,2.35965017991654,0.529949630479234,-0.143250491458069
"2016.06.01",1.404145411,1.23455064605249,2.95,0.243583881127285,-0.45765026722139,0.480943699166009,-0.0223743606073189,-0.0767212691390454,0.0120242413290006
"2016.07.01",1.903305823,2.78702769002352,2.95,0.194161311073881,-0.451003637746518,0.664213103692195,0.582040581608437,-0.292752859448047,0.415363446903516
"2016.08.01",2.451024844,1.94795917124777,2.95,0.173938635302798,0.27328391670144,1.02299719349306,2.06274846943477,0.810444155048551,-0.210934577923372
"2016.09.01",3.285541741,2.29254516003943,2.95,0.181215954545032,0.177211356392888,1.48009937426161,2.3671968064435,0.907501923166851,-0.033740828779627
"2016.10.01",4.412369134,5.07381339613282,2.95,0.156697043295904,0.668282706444654,1.25782881897378,1.96849194877675,0.455203546570309,0.229974256478949
"2016.11.01",5.967804599,5.11442103456607,2.95,0.109678206455541,0.501583919183218,0.886038319334364,1.05496952405569,0.46497652206964,1.48780383820679
"2016.12.01",10.22246271,4.73645194061048,2.95,0.154215068109164,1.52375326486631,1.72487265493315,1.45367141765617,1.32594668557216,0.773510892534746
"2017.01.01",13.81,3.98104899524361,2.95,0.248786269045723,0.343745123430178,0.0333015151350515,-0.86161808276458,-0.129874907751965,0.218521080318035
"2017.02.01",15.88,3.92127923701739,2.95,0.188590607765128,-0.329330273037763,0.0755158481980411,-0.546684448273904,0.175189949673934,0.387033949138038
"2017.03.01",18.59,3.10322582906544,2.95,0.258668728845191,-0.461404916510409,0.723928573379709,0.704855501361909,0.663691498508608,-0.397869220973246
"2017.04.01",22.18,3.32226519530652,2.95,0.31910693984774,-0.457030925824189,0.142252723697291,1.97343139779197,0.32725458574736,-0.236405961238706
"2017.05.01",25.78,2.34998126838821,2.95,0.181357350716725,-0.453261614083863,0.0254431328119643,-0.389973483038314,0.401968836476874,-0.297545178526681
"2017.06.01",32.86,3.01929104821994,2.95,0.183583881127285,-0.449561408422325,0.351005753134452,-0.248868671878039,0.702502401976776,0.0674931215392194
"2017.07.01",45.8,7.13869977398449,2.95,0.174161311073881,-0.451486803846285,0.471921920372863,0.103688434762553,0.417038924873565,0.592436055440659
"2017.08.01",49.74,-1.38167196429837,2.95,0.123938635302798,-0.445153803171142,0.138789657419931,0.327783049072475,-0.00449687165578136,1.04057564171331
"2017.09.01",53.68,0.847511884299035,2.95,0.201215954545032,-0.764352874338417,0.424274502370367,0.0261969637552377,0.328424342616645,0.274481298357143
"2017.10.01",59.88,0.599849715076495,2.95,0.226697043295904,0.321539047605118,0.84677116596945,1.01572843888084,0.531938213820779,0.447831938742804
"2017.11.01",67.82,0.522152325624248,2.95,0.169678206455541,0.316968179454212,0.863077239237996,0.441389709351327,0.0648672112525759,0.194792436458058
"2017.12.01",77.16,0.71949078744753,2.95,0.134215068109164,0.103670498610467,0.741194534159742,1.35137957526463,0.625912600718668,0.0287249913579535
"2018.01.01",54.48,0.611306945159473,2.95,0.238786269045723,0.505320098554056,1.32532230416269,2.70265972767354,1.02863344688615,0.553905227740037
"2018.02.01",52.74,0.767144454578528,2.95,0.118590607765128,-0.579229737880459,1.00159816054079,2.25123925942462,0.834542782843265,-0.200692206086051
"2018.03.01",50.41,0.248836736165803,2.95,0.298668728845191,0.170398008829601,0.581716553166019,0.333693305331195,0.227557933012077,-0.347171585001893
"2018.04.01",46.96,0.0975579524568282,2.95,0.22910693984774,-0.405873163155679,-0.224566012783323,-0.322101655961667,-0.381975634772995,0.201640602145958
"2018.05.01",44.39,0.0696847625570207,2.95,0.211357350716725,-0.57618876938818,-0.151142910321736,-0.318075271161512,0.346762678279561,0.0553959305017004
"2018.06.01",34.77,0.286369564952338,2.95,0.163583881127285,-0.764352874338417,0.067576099539189,-0.86161808276458,-0.627597915758369,0.164324590044962
"2018.07.01",24.87,0.0973312886429767,2.95,0.204161311073881,-0.577423955684092,0.519964143661413,-0.321319272015518,-0.0552298196128667,-1.28978584046997
"2018.08.01",21.73,0.152368799103364,2.95,0.193938635302798,-0.248192273475692,1.50375977093456,-0.323689472920648,1.02103513188091,-0.46441013791898
"2018.09.01",18.77,0.112560521294114,2.95,0.191215954545032,-0.577595817014555,0.754972965589583,0.335113973752908,0.229312605554472,0.083751465749371
"2018.10.01",14.53,0.0952930114356931,3.5,0.186697043295904,-0.576084130078824,0.680846808176807,0.917067868137499,0.621379961071165,0.343677303771672
"2018.11.01",9.55,0.0584006279281901,3.5,0.229678206455541,-0.0952291680636238,1.48672373584396,0.828265094046294,0.479565845726297,-0.515789986653703
